task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,30.0,35.0,1120.106,0.1,2,1,1,SLM
2,USA,,35.0,40.0,958.246,0.1,,0,1,SLM
3,BRAZIL,,60.0,65.0,1126.691,0.1,1,1,1,SLM
4,EUROPE,,75.0,80.0,963.916,0.1,2,1,1,SLM
5,EUROPE,,80.0,85.0,1123.487,0.1,2,1,1,SLM
6,EUROPE,,85.0,90.0,1061.92,0.1,2,1,1,SLM
7,EUROPE,,110.0,115.0,1189.297,0.1,2,1,1,SLM
8,EUROPE,,130.0,135.0,1227.231,0.1,2,1,1,SLM
9,BRAZIL,,140.0,145.0,971.237,0.1,1,1,1,SLM
10,EUROPE,,155.0,160.0,957.376,0.1,2,1,1,SLM
11,EUROPE,,165.0,170.0,1139.05,0.1,2,1,1,SLM
12,USA,falha_hardware_camera_esq,190.0,195.0,931.069,0.1,,0,1,SLM
13,EUROPE,,220.0,225.0,1120.393,0.1,,0,1,SLM
14,USA,,235.0,240.0,1129.058,0.1,,0,1,SLM
15,EUROPE,,245.0,250.0,47043.012,0.1,,0,1,SLM
16,EUROPE,,250.0,255.0,1176.065,0.1,,0,1,SLM
17,BRAZIL,,275.0,280.0,985.777,0.1,1,1,1,SLM
18,EUROPE,,280.0,285.0,1266.884,0.1,,0,1,SLM
19,USA,,375.0,380.0,1014.021,0.1,,0,1,SLM
20,BRAZIL,,385.0,390.0,978.323,0.1,1,1,1,SLM
21,BRAZIL,,425.0,430.0,1066.286,0.1,1,1,1,SLM
22,BRAZIL,restricao_soberania_brasil,440.0,445.0,2048.73,0.1,,0,0,SLM
23,BRAZIL,,450.0,455.0,1839.621,0.1,1,1,1,SLM
24,BRAZIL,,480.0,485.0,1021.171,0.1,1,1,1,SLM
25,BRAZIL,,485.0,490.0,1023.698,0.1,1,1,1,SLM
26,BRAZIL,restricao_gdpr_europa,490.0,495.0,1228.1,0.1,,0,0,SLM
27,EUROPE,,525.0,530.0,1225.641,0.1,,0,1,SLM
28,EUROPE,,535.0,540.0,1023.953,0.1,,0,1,SLM
29,EUROPE,,565.0,570.0,45262.492,0.1,,0,1,SLM
30,EUROPE,,580.0,585.0,978.715,0.1,,0,1,SLM
31,EUROPE,,590.0,595.0,1066.071,0.1,,0,1,SLM
32,EUROPE,falha_hardware_camera_esq,630.0,635.0,1226.14,0.1,,0,1,SLM
33,USA,,635.0,640.0,935.566,0.1,,0,1,SLM
34,BRAZIL,,640.0,645.0,980.426,0.1,,0,1,SLM
35,USA,,660.0,665.0,913.461,0.1,,0,1,SLM
36,BRAZIL,,670.0,675.0,1055.963,0.1,,0,1,SLM
37,BRAZIL,,700.0,705.0,2220.119,0.1,,0,1,SLM
38,EUROPE,,720.0,725.0,1051.514,0.1,,0,1,SLM
39,BRAZIL,,725.0,730.0,1022.771,0.1,,0,1,SLM
40,BRAZIL,restricao_gdpr_europa,755.0,760.0,1226.207,0.1,,0,0,SLM
41,BRAZIL,,760.0,765.0,1023.21,0.1,,0,1,SLM
42,BRAZIL,,765.0,770.0,988.912,0.1,,0,1,SLM
43,EUROPE,restricao_soberania_brasil,790.0,795.0,46836.672,0.1,,0,0,SLM
44,EUROPE,restricao_gdpr_europa,805.0,810.0,1324.308,0.1,,0,0,SLM
45,USA,,825.0,830.0,1022.627,0.1,,0,1,SLM
46,BRAZIL,,840.0,845.0,1022.201,0.1,,0,1,SLM
47,BRAZIL,,910.0,915.0,1119.272,0.1,,0,1,SLM
48,EUROPE,,930.0,935.0,1023.498,0.1,,0,1,SLM
49,EUROPE,,935.0,940.0,971.691,0.1,,0,1,SLM
50,EUROPE,,940.0,945.0,971.752,0.1,,0,1,SLM
51,BRAZIL,,950.0,955.0,975.692,0.1,,0,1,SLM
52,BRAZIL,,960.0,965.0,983.375,0.1,,0,1,SLM
53,USA,,970.0,975.0,1224.941,0.1,,0,1,SLM
54,USA,,980.0,985.0,948.315,0.1,,0,1,SLM
55,USA,falha_hardware_camera_esq,985.0,990.0,981.925,0.1,,0,1,SLM
56,EUROPE,,990.0,995.0,951.694,0.1,,0,1,SLM
57,EUROPE,,995.0,1000.0,46816.558,0.1,,0,1,SLM
58,EUROPE,,1010.0,1015.0,1018.911,0.1,,0,1,SLM
59,EUROPE,,1045.0,1050.0,1181.652,0.1,,0,1,SLM
60,EUROPE,,1055.0,1060.0,1022.611,0.1,,0,1,SLM
61,USA,,1060.0,1065.0,971.306,0.1,,0,1,SLM
62,BRAZIL,,1065.0,1070.0,1279.897,0.1,,0,1,SLM
63,EUROPE,,1085.0,1090.0,1021.105,0.1,,0,1,SLM
64,EUROPE,,1090.0,1095.0,1023.835,0.1,,0,1,SLM
65,EUROPE,,1115.0,1120.0,1022.996,0.1,,0,1,SLM
66,EUROPE,,1120.0,1125.0,1636.053,0.1,,0,1,SLM
67,EUROPE,,1155.0,1160.0,1227.424,0.1,,0,1,SLM
68,BRAZIL,,1160.0,1165.0,1227.583,0.1,,0,1,SLM
69,BRAZIL,,1190.0,1195.0,1022.183,0.1,,0,1,SLM
